DateRep	isoweek	LINEAGE_model	N_filtered	proz	proz7d	proz14d	proz28d	proz28dadapt	filter	proz_rescaled	region_name
2020-12-14	51	Alpha	0	0.0192499001254762	0	0.0149659863945578	0.0192499001254762	0.0149659863945578	FALSE	0.0192499001254762	Deutschland
2020-12-15	51	Alpha	0	0.0192499001254762	0.0102040816326531	0.0149659863945578	0.0192499001254762	0.0149659863945578	FALSE	0.0192499001254762	Deutschland
2020-12-16	51	Alpha	0	0.0176625985381746	0.0102040816326531	0.0148123765635286	0.0176625985381746	0.0148123765635286	FALSE	0.0176625985381746	Deutschland
2020-12-17	51	Alpha	0	0.0176625985381746	0.0102040816326531	0.0258013875525396	0.0176625985381746	0.0258013875525396	FALSE	0.0176625985381746	Deutschland
2020-12-18	51	Alpha	1	0.0176625985381746	0.0204081632653061	0.0258013875525396	0.0176625985381746	0.0258013875525396	FALSE	0.0177896675924061	Deutschland
2020-12-19	51	Alpha	0	0.0224245033000793	0.0204081632653061	0.0258013875525396	0.0224245033000793	0.0258013875525396	FALSE	0.0225858306619504	Deutschland
2020-12-20	51	Alpha	0	0.0224245033000793	0.0296247531270573	0.0258013875525396	0.0224245033000793	0.0258013875525396	FALSE	0.0225858306619504	Deutschland
2020-12-21	52	Alpha	2	0.0224245033000793	0.0516027751050793	0.0258013875525396	0.0224245033000793	0.0258013875525396	FALSE	0.0225858306619504	Deutschland
2020-12-22	52	Alpha	0	0.0224245033000793	0.0413986934724262	0.0258013875525396	0.0224245033000793	0.0258013875525396	FALSE	0.0225858306619504	Deutschland
2020-12-23	52	Alpha	2	0.0218292652048412	0.0413986934724262	0.0305632923144444	0.0218292652048412	0.0305632923144444	FALSE	0.0219863102782574	Deutschland
2020-12-24	52	Alpha	2	0.0218292652048412	0.0413986934724262	0.0305632923144444	0.0218292652048412	0.0305632923144444	FALSE	0.0219863102782574	Deutschland
2020-12-25	52	Alpha	0	0.0218292652048412	0.0311946118397731	0.0254612514981179	0.0218292652048412	0.0254612514981179	FALSE	0.0219863102782574	Deutschland
2020-12-26	52	Alpha	0	0.0218292652048412	0.0311946118397731	0.0349850610219274	0.0218292652048412	0.0349850610219274	FALSE	0.0219863102782574	Deutschland
2020-12-27	52	Alpha	0	0.0238700815313719	0.0315018315018315	0.0349850610219274	0.0238700815313719	0.0349850610219274	FALSE	0.0240418087366335	Deutschland
2020-12-28	53	Alpha	0	0.0238700815313719	0.00952380952380952	0.0298830202056009	0.0238700815313719	0.0298830202056009	FALSE	0.0240418087366335	Deutschland
2020-12-29	53	Alpha	0	0.0276014248149539	0.00952380952380952	0.0298830202056009	0.0276014248149539	0.0298830202056009	FALSE	0.0277999962165004	Deutschland
2020-12-30	53	Alpha	1	0.0309288427386452	0.0285714285714286	0.0288461538461538	0.0309288427386452	0.0288461538461538	FALSE	0.0311513523986354	Deutschland
2020-12-31	53	Alpha	0	0.0309288427386452	0.0285714285714286	0.0178571428571429	0.0309288427386452	0.0178571428571429	FALSE	0.0311513523986354	Deutschland
2021-01-01	53	Alpha	0	0.0321488959773319	0.0285714285714286	0.0178571428571429	0.0321488959773319	0.0178571428571429	FALSE	0.0323801829987516	Deutschland
2021-01-02	53	Alpha	4	0.0368554297536332	0.0285714285714286	0.0178571428571429	0.0368554297536332	0.0178571428571429	FALSE	0.037120576730278	Deutschland
2021-01-03	53	Alpha	0	0.042212572610776	0.0261904761904762	0.0219387755102041	0.042212572610776	0.0219387755102041	FALSE	0.0425162601835154	Deutschland
2021-01-04	1	Alpha	0	0.0423186325402182	0.0261904761904762	0.0219387755102041	0.0423186325402182	0.0219387755102041	FALSE	0.0426230831340328	Deutschland
2021-01-05	1	Alpha	0	0.0455823401120198	0.0261904761904762	0.0294014620773683	0.0455823401120198	0.0294014620773683	FALSE	0.0459102706164228	Deutschland
2021-01-06	1	Alpha	2	0.0459917780807557	0.00714285714285714	0.0312943931628459	0.0459917780807557	0.0312943931628459	FALSE	0.0463226541820561	Deutschland
2021-01-07	1	Alpha	0	0.0437348282317379	0.0153061224489796	0.0312943931628459	0.0437348282317379	0.0312943931628459	FALSE	0.0440494672837648	Deutschland
2021-01-08	1	Alpha	0	0.0485390341780758	0.0153061224489796	0.038836540456546	0.0485390341780758	0.038836540456546	FALSE	0.0488882358628101	Deutschland
2021-01-09	1	Alpha	0	0.0485390341780758	0.030231495583308	0.0387257984853389	0.0485390341780758	0.0387257984853389	FALSE	0.0488882358628101	Deutschland
2021-01-10	1	Alpha	2	0.0510573491963908	0.0363983101352157	0.0494400841996247	0.0510573491963908	0.0494400841996247	FALSE	0.0514246682553576	Deutschland
2021-01-11	2	Alpha	0	0.0552803221693638	0.0363983101352157	0.0547542448748357	0.0552803221693638	0.0547542448748357	FALSE	0.0556780223288556	Deutschland
2021-01-12	2	Alpha	14	0.0587870118543012	0.0514826047226158	0.0612816600184388	0.0587870118543012	0.0612816600184388	FALSE	0.0592099399971379	Deutschland
2021-01-13	2	Alpha	15	0.0611265563677588	0.0703087398278207	0.0631374023153576	0.0611265563677588	0.0631374023153576	FALSE	0.061566315766088	Deutschland
2021-01-14	2	Alpha	0	0.0678580447746398	0.0835740459502697	0.0696125136063329	0.0678580447746398	0.0696125136063329	FALSE	0.0683462321471193	Deutschland
2021-01-15	2	Alpha	17	0.0746507618614746	0.0942023673006917	0.0792209254990087	0.0746507618614746	0.0792209254990087	FALSE	0.0746507618614746	Deutschland
