english;german
Bremen;Bremen
Hamburg;Hamburg
Berlin;Berlin
Saarland;Saarland
Schleswig Holstein;Schleswig-Holstein
Thuringia;Thüringen
Saxony;Sachsen
Rhineland Palatinate;Rheinland-Pfalz
Saxony-Anhalt;Sachsen-Anhalt
Hesse;Hessen
Mecklenburg Western Pomerania;Mecklenburg-Vorpommern
Brandenburg;Brandenburg
Northrhine-Westphalia;Nordrhein-Westfalen
Baden-Württemberg;Baden-Württemberg
Lower Saxony;Niedersachsen
Bavaria;Bayern
Germany;Deutschland
unknown;unbekannt
